text,dialect
@sabah_coop بس ياخوك لازم تشوف اسعار الجمعيه ضروري بعينك وبيك انت تقارنها بالجمعيات الثانيه وراح تشوف الفرق الكبير وشكراااا,KW
"يا قلب هوّد لو دهتك النوايب 
إصبر على تدبير منشي السحايب",SA
@salmanalibh بتلبس كمامات وبتاخد ادوية وبتكتب في تويتر وبتناشد في الصحافة، وبعدك بيجون عيالك بيكملون المسيرة وبتظل المشكلة كما هي #البحرين,BH
"عندي أمل بـ الوصل مهمآ تغيب
كم غايب عقب البطا جا لـ غايب..",OM
@Bianconero234 @AltamimiAlwa7da يوجعنا الفشل ولكن صعب اتناسى لحظه محبتي و واجبي للوقوف خلف النادي اللي فرحني وبكاني وقلت هو دائي و دوائي,AE
عادتي في مساء الاربعا لما ينام الكل اقعد اشوف حلقه توب شيف ..اليوم قررت اروح انام مبجر..,BH
@al3in911 @decoalain @ROO7_ALZ3AAMAH دخييييييلك خله بدون تلفون .. العالم مرتاح بغيابه 😁,AE
"مريض البايبولار أثناء ال hypomania العالية بيحسسك انه وصل للنيرفانا وسر الحكمة، لكن بعد زوال تأثير النوبة بيحس بالحرج والندم الشديد على اللي عمله وقاله ويتسائل ازاي عملت كدة وطلعت نفسي على المسرح كدة!
https://t.co/1N4acnthGy",EG
"@JHKWT ياريت يبنون مستشفى متكامل للاطفال المعاقين تكون فيه جميع التخصصات وراثه طب عام خدج علاج طبيعي اعصاب الى اخره

مايصير كل موعد في منطقه او مستشفى غير عن الثانيه
وما كو تعاون يعني فيك خير وخذ المريض المعاق لمنطقه صباح و هو المفروض يروح مبارك وانت ما تدري طبعا
تقول غلطان عليهم!!",KW
@DlakSaad كفو كحيلان مايرضى بالظلم رغم الدلهوميات,SA
"@Jzrawi15 تبا الممتاز ادفع و هم يقدرون يدفعون ؟؟

وحيد تشوفه سيء اجل شو خليت حق جواو و ربعه",AE
"@Ayla_Massarani صاحب النصيحة (أنا) أول واحد ممكن أوقع
ما عم نظر على حدا، بس عم ذكر المبالغة بكل شيء حد الافراط هيي غلط وبتودي لنتايج ما بتسعد شرا كانت او خيرا",SY
@5odra تاني ماتكرري حركتك دي,SD
#StaracArabia شرارة كلامك ولابيهمنا نسيم فينال وبس والناس اللي صدقت شرارة لما قال الحنان احسن من نسيم لاتفضحوا حالك حنان تشاز البرايم هذا,TN
@SawtBeirut والله تاني يوم بصير إيراني,SY
تعبت اتنكد من أي إشي و أنبسط ع أتفه إشي,PL
واذا الهموم على الاكتاف تشعبطت، فاضحك وقل لها يا اختي انزلي,LY
"والله المرمطه العشناها ما حاشوفا تاني 😂
رقي وجمال وضيقة اخلاق 🌚
ربنا يديم المحبه 😅",SD
دا لو سوداني كان جا عرس بنات الحله كلهم ومشا 😂 https://t.co/gqLc4zf1j2,SD
"شكرًا تويتر ذكرتني بتقدم العمر ونقصانه 

كبرنا https://t.co/fxM8ttT77K",IQ
@Miss_Oumaii عن اي حرام وحلال؟ انا صح ماتحب صوت المخلوقة اللي نشوفو يصلح لبرامج كرتون لكن البنت مرتبطة بتقديم برنامجها نهار الجمعة !! والحفل نهار الجمعة ادا عن اي حلال وحرام! ماهو لاباس وأميمة ؟!,DZ
@almoqahwy @alhssean_alself كفوك الطيب يابوسلطان وماعليكم زود يابعدي,SA
@mustafanasser4 @AljaffalA هاي شلك بيها ، هي الصلاة ربع ساعة يعني بسببها صارت أزمة بالكهرباء,IQ
"@AhmedWagih ترشيح وإختيار مرسي والإخوان نتوقع يقول إيه!!!
كذب وتدليس كعادتهم",EG
@racan86 عيل تبيني نخله؟😂🌴 ريولي من اليوم لي باجر؟ و مقاس جوتيي وانتو بكرامه يصير ٤٥ من كثر ما انا طويله لايبا الحمدلله عالقصر😂,KW
@Wael83646014 @abdallah_fatima @Annahar ممكن لان اغلب للصحافيين هكي او ممكن حيكون هو سبب الجريمة واو ليه شي متعلق بالجريمة فهذا اعلاش جايبينه هكي. .... ننتظر النهاية 😊,LY
"@HfypHf @Abdulkhaleq_UAE والله انته حرام اشبهك بالتيس يكون ظلم للتيس 
الحين ي  تبن شو الفرق بين تعمل بالبنود ومطبقه البنود 😂
ي ....... خلص تخزين قاااااات  وفتّح مخك هالتنك عقب تعال ناقش خس الله الهوووش 😎",AE
تبغى زياده في حبك اجبلك قلبي تاني منين ❤ .,OM
@ALWDIM ما اعتقد .. الكبير والصغير الحين يتمنى تكون وظيفته لاعب كرة قدم محترف .. الناس قبل تقولك روح ادرس وودر عنك الكورة، الحين تقوله روح ادرس بس شد حيلك اكثر فالكوره 😂,AE
"@Emad085 @Roma4EverNET جزاك الله خير وما قصرت

راح انتظر لتاريخ ٢ جولاي وان شاءالله اقدر اشتري التذاكر الموسميه للموسم القادم لاني مابي يصير لي مثل ماصار معاي وقت مباراة البرشا والليفر وخلاني ادفع ٣ اضعاف قيمة التذكره العاديه 😔",AE
@IMrged اللي ماينفع منتخب بلاده ليس لاعب في ظني,SA
في ناس لما تحاكيها بتحس انها من برج الحمار,SY
"@Robina64134334 يا اختي حسابي ثقيل ما ادري ليش
يمكن عليه بلاغات ما يفتح إلا بالغصب",YE
"انا لو تضيق بي دنياي من كل صوب 
اتذكرك ، واتخيل إنك تبتسم وأبتسم ,

صحيح جاملت واجد بسّ ماني كذوب 
النيّه أنسى وصوفك بسّ مالله قسم !",KW
@maganenoo مش ناسي بصراحه اول معرفتي بيك واول ماعملت لك فلو كان تريد بتاع اقتحام السجون قراته اكتر من مره لاني كان بيثبت كل كلمه انا كنت معتقد بيها وماكنتش مصدق موضوع العادلي فتح السجون والهنتاريش الي انتشر ايامها,EG
@wahib_hamood @CAFLyj7ESo9RLFO ممكن  خارطة الضالع قبل الوحدة.,YE
@emyelhefny @mazen81 والله انا بنزل الاردن بالصيف والبترا بتكون شوب كتير ،، بس نفسي والله ووادي رم كمان ،، يلا تعالي نزبطها 👍👍😘,PL
@Yousef_Bardi الله يسلمك ويعز غاليك,KW
@GhinaAzizeh ولا انا 🙂 عم حاول دور ع حدا لابس اسود وحدا لون الخردل😂,PL
حاليا اعتقد بان الموقع يعمل بدون اخطاء راخ اضيف بعض الاشياء خلال اليومين القادمين وبعدها راح اوقف لمدة اسبوع عشان اخلص موقع ثاني اشتغل عليه,AE
@Muharraq_Fans ماقصر قصر عنه الشر الكبتن فاضل,BH
@askar1s يخرب بيتو شو جحش ....,PL
لوبيعطوني مصاري مابفكر ارجع للمدرسة والله✋🏼 https://t.co/Qw8RELnXWY,LB
@lujainben طيب فيك اللي تقري علي قد ما تقدري نوعي,LY
"@nayef965 فداك الجهاز 
اخوي حسد الحساد 
الله يكفيك ويكفينا شر الحسد",IQ
"@abqatar الله يحفظك يابو حمد وينصرك على العرب المتصهينين حسبي الله عليهم حلف الفجار دمرو وحده الخليج 
يالله يارب بهذا الشهر الفضيل ان تتفضل علينا بحفظك  وتهلك شرار اهل الارض انهم طغاه عصااه عبدة الصهاينه ان ترد كيدهم بنحرهم 🙏",QA
@ghadabajough اللي ركب الفيديو مطلوب حيا أو ميتا ههههههههههههههههههه,AE
"نص سيف اللي عند العجمي حر طليق
والنص اللي عند الجويلي مازال في الحبس

وينك ياناكر يامتاع عبد الله السنوسي",LY
برجولية في الفترة هذي بالذات لزمنا الكل ناقفوا وراء #نبيل_القروي و نبعبصوه بالواحد بالواحد ههه😂😂,TN
هواي انتبهت انو من يخجل الولد يصير يلعب بشعر لحيته وينتف بيها 😂,IQ
@SOkr4OE6u9Vn2ca @Alshizawi2002 رسل صورتك بخليك فوق برج ايفل,OM
"بكرا شي نهار بحكيلك ها الخبرية
عن ياللي صار وع هالحلم بعينية
قصة مشوار وحدا بيعز عليه 
#بكرا_شي_نهار 😋😋😋",LB
"واحد يسأل زوجته : لو مت تتزوجين بعدي ؟
قالت : الله أكبر عليكم يالرجال 
تتزوجون ثلاث وانا حية !!
وحاسدني على واحد وانت ميت 😳
محد قالك تسألها
💔😂😂😂",SA
"ليش لما نستخدم المصعد الكهربائي ( اللفت). ويكون حد معنا. نحصل عيوننا يا فوق يا تحت يا على لوحة الأرقام؟

ولا حد يطالع ف الثاني 😂

وأحيانا يطلع الشخص اللي معك تعرفه 😃

#هلكوني 🤐",OM
بضحكتك سننتصر بإذن الله https://t.co/EPI1HolUEz,SY
طلع الطاقه السلبيه اللي جواك https://t.co/xG1GE7xH36,EG
"@layansu981 الشهيد رحمة الله عليه ابن حركة فتح
يعني لا أمن السلطة ولا عباس بيمنعوا حدا يقاوم
وياريت تلعنوا اللي مجوع الناس ومختطف 2 مليون مواطن بغزة 
وبيتكلم عن المقاومة وهو ما بيمارسها الا اذا قبض ثمنها
ربنا يصلح أحوالنا",PL
@Hana_AlOthman حبيييبتي 😘😘😘 متولهة عليج وايد والله,AE
@manowar_acdc هههههههههه عاد كيف بتعجبك وانا اللي دايرتها مسحيل طبعا لازم اطلع فيها علة😏😏 https://t.co/O9itnKOTy3,LY
@naif313 الله يبارك فيك يارب ❤️😊,QA
@m7mdona ههههه مادري من وين تقرا بس يالله نبي ناخذ فيك اجر و نفهمك اللي مكتوب .. هو قال كل حاكم فاسد خائن لامته وعميل لأعدائها الحين نوضح لك من الخائن والعميل اللي دفع ٤٦٠ مليار واللي راح بالخش حق ترامب واللي ركبهم في بدي بيكم والامعه وكم واحد وياهم ويكرم الحمدين 😉 ما افسدوا ولا ضروا,QA
صاحبي ماشيه امعاه مشيه حصل دعوة لمباراة البايرن وبوروسيا 💔💔,LY
@zaid_arif_89 احبك اني مشتاقين حبيبي,IQ
@mbs2030w عنا عنننا عنننن عننا استحلفكم بالله حد سمع وله شاف حد من عننا عنا عن عننا متميز باي عمل 😟😏,AE
اروح مااروح اروح مااروح اروح مااروح اروح مااروح 😴😴,IQ
@Elamrani1718 @eljaafar04 نكبر عقلي ونقول الله يسامح,MA
"#الهلال_الاتحاد_دوري_اسيا
وش صار على العمه والخدامه ؟؟",SA
@eD7me @sweet3ndsalt امحق انقليزي من ورآها ،،وايت تميرو هذا الي سمعته 😕,QA
@3assssy طاب أنا لحقت المانفيللا في عربية جدي أيام الطفولة... انت شفتها فين دي؟ 😀,EG
جمهور النصر اللي فالرياض مالكم عذر بكره احضروا وإن شاء الله نحسمها من مباراة الذهاب,SA
@AbdullahElshrif الضغط والله في قلبك يالسلوقي,KW
@nadasouhila2_d @35fhSL9Rimas اولاد الحلال يقصد بيه أصلهم انهم اولاد شرعيين مش المقصود على شخصياتهم,DZ
إنك تقرر تنام غصب عنك عشان عندك دوام وتتحايد سكران صحوة الصبح بدري... قمة في العذاب😐,PL
"@bosha1994 ياخ انا شفتك في التلفزيون عديل 😂😂😂
جابوك لمن كنت بتتكلم مع البوشي https://t.co/EmBYH2skp9",SD
@kenzakenouz4 @SouihatKhaled @HafSihem خرجو ماجر من ماتش و هو زعف و رمى التريكو و الناس شادينهالو,DZ
@NadimKoteich أستاذ نديم كنت عم تحكي عن الرد من يومين !!!! أي هاييهون ردوا ما تعتل هم الجماعة ما بحبو يزعلوك,LB
@mhamadallouch ما بعرف، بس عم نبّه... مش ناقصنا جدل ووجع راس بالبلد,LB
"@ahmedaabed202 ما الفرق بين الزواج والكولونيا؟

الزواج .... قسمة ونصيب
الكولونيا .... قسمة والشبراويشي",TN
@khotyar1 @WalidAlOmary يسعدلي صباحكم الأحلى من الورد,LB
"هذا الزمن لا عاد تشره على الناس ..
ولا تعاتب كل ما شفت زله ..
كثر التشره والعتب يوجع الراس ..
من جاز لك .. جز له,ومن شان خله ..

#حكمة_مفيدة",BH
@kareeemsayed لكل فعل ردت فعل ⚔️🇶🇦⚔️ وياويله ياويله من طمع في دارنا ياويله,QA
#ترمب_يرفض_استقبال_تميم....ولكن بووويه شوووو عالصورة شو بلاهم عيال امعلايه 😂😂 👇👇 https://t.co/lMqLbMi14q,QA
@ilham_kebadj ربي يحفظنا وهما مشكوريين عادي اتمتعي بعلم الجزائر منتشر في كل مكان هذا انجاز 😂😂😂😂,DZ
فكره الكلام مع الاغراب الي ميعرفوناش اصلا عجبتني اوي خصوصا ف ظل وساخه اللي يعرفونا كويس 🐶,EG
محد ودهه يجيبلي هدية ويفرحني👈🏽👉🏽🙄 https://t.co/BnBxsRHksQ,SD
"ياخي سامباولي اسحب بيليا وادخل باريديس
اسحب نابيجا وادخل ايكاردي واترك ميسي لاعب حر وايكاردي وبينديتا مهاجمين وخذ لك لعب واهداف 🙂",AE
@Heptaaaaa @elham_kenany ومالها راس البر علشان نفهم علشان فيه 🔪🔪🔪 هتطلع دلوقتي,EG
"صفحة شافها أكثر من 3,000,000 شخص

⁦https://t.co/5fJSoBVQQV⁩

ياحظ أول واحد",SY
@Hania_Sharawi ما الراجل مغلطش هو مش الزمالك ديما التانى.  يبقى مين ال بينافسو.   براميدز   على التانى,EG
"يا  حرام يا مدريد 😂😂😂😂
يا رب برشلونه يا رب يا رب  😍",JO
#اكثر_كلمه_مرت_عليك_ب_المدرسه .. اشعندج تضحكين !؟ ضحكينا معاج :),QA
@2fm1_s الله يطول ب عمرهم و يديمهم لك,MA
@k_wagih @puykxSDBDMTmhI8 مين ده الف مبروك,EG
@masoud_alaa تخافيش بحسدش 😒 المادة سهلة ع فكرة بس لانوا ماكتب ع اللوح مش متعودين ع هيك,PL
أكثر واحد مستفيد من #ارتفاع_اسعار_البترول هو محمد خالد ، يقول في قلبه اشوه بينسوني !! لا مو ناسينك يا بوعمار #تيت_عليه #محمد_خالد_يهين_الإمام_المهدي,BH
"#هلا_وغلا_فبراير 
صبـــــــــــــــــــــــــــــــاح الوردات الفائحات للجميع",LY
@MOI_Qatar و بعدين تَحُطُّون أماكن الرادار و تعلنون عنها و في نفس الوقت تَحُطُّون رادارات تدسونها جنب الرادار الثابت ! و للعلم انه مش معلنين انه سيتم وضع رادار في هالمنطقه,QA
@AmrOfficial3 شرفتنا و شرفت تويتر وكل الدنيا 🌷,LY
لا نسيت ماقلتله مع المچبوس. شوربة ضب سحلي صغييير. ترى ترجع الشايب ولد. انا مجربها 🤣 https://t.co/QnvlhmFHvD,KW
"@Masrya_bas يوم جميل عليك وعلى كل أحبابك يارب 
ومساء الهنا والسعد عليكى يا حببتى 🌷",EG
"طريق #دربات
#خريف_صلاله_2019 https://t.co/1x3VI3fdXw",OM
فديت قلبج فنانتنا. تسلمين ياكل الذوق ياخطيررررره ❤️🌹 https://t.co/mgwZDxoq8g,BH
@sharkawy261 الوداد   ملعبش مزيان تغييرات  مدرب واللاعبين معندهم تاحافز,MA
"المبادره مره مرتين,بعد كذا الوجه من الوجه أبيض,حتى لو الشوق ملانّي تأكد اني مستحيل أخطي يمك خطوه.",YE
@AbdElmomenn مش دا اللي بينكمش يالا يخربيتك هاتودينا فى داهية 😂,EG
"فبراير ابداً
 ولا شنو هذا 28 يوم ودار هكي",LY
@Juli_Ree هههههه يعني نبيك تبرمي طلعت معايا يامحيرني 😅,LY
"التايم لاين مستلمين فلان معاشه كذا وعلان معاشه كذا
هذول رياييل اعرفوا الكتف من وين تؤكل حاسبو الحكومه الي عطتهم من غير وجه حق شكو الأشخاص",KW
@saralola12 @Mina_Atta_ راني نتخيل فيك نهادو 😂😂😂راح نموت من ضحك 😂😂😂ماتدري يا ختي 😂😂😂😘😘😘😘,DZ
عوض الله يكفينا شرك https://t.co/cey4sQTRvQ,TN
"بعد تمعّن و تدقيق، يبدو أنو منير بن صالحة البارح عمل بلونجون عالمزفّت.
#نهاية_سريعة_للبوق_الجديد",TN
"لحظة لحظة.. 
وقتك هلق تفتح تحقيق؟! بكيييير والله 
بدال ما تفكر كيف بدك تعوّض الأهلالي لراحت بيوتا و سياراتها؟؟؟؟؟ 
و تثبّت أفراد الدفاع المدني بالدولة؟؟؟ https://t.co/KaThO12KNJ",LB
"كرامر يا .....

احسن شي صادك يوم فقدت الذاكرة في كاس العالم",BH
@mariamjbbl هذيكا مناش خايفة انا انو يستغلو الوضع و تضيع من يدينا البلاد ربي يشملنا برحمتو و يبقي سترو على تونس,TN
@EnassKarimeh ليش لما عمل رئيس حكومه كان مضيع مفتاح الجارور 😂😂😂,LB
"#الطلاق_اصعب_للرجل_او_المراه

مو صعب على الرجل ولا على المرأه صعب على الأطفال يدمرهم نفسياً ويشتتهم ويمكن اذا ماحاولت الام تبعدهم عن مشاكلها هي وابوهم ولاتبين لهم اي حزن وكره وحقد رح يضيعون نصيحه لكل ام واب لاتخلون العيال يتحملون غلط مالهم ذنب فيه لاتصيرون انتم والزمن عليهم😪💔",SA
"ما شاء الله مقوصرٍ طيب على الخنازير الحمر 🤓

 #تشيلسي_مانشستر_يوَنايتدَ https://t.co/p8JEa8XceL",SA
بتستاهل لو دبك بنيعها الصراحة https://t.co/FUP0muT4jK,LB
@DrEshki السعودية غير يشقوا بحالهم بس,LY
@Adam75897845 @AlsaeedFajer يبي احتفاليه كويتيه عراقيه . شنو رايكم يا كويتيين ؟,KW
@wojim_it بس اعلانات لان الاغنيه الرسمية نزلت بس من كلامهم على طاقه بانقتان على المسرح ممكن يشاركو في الختام مثلا,PL
"@Anaselnady لا هو كان في ماتش بتاع تونس كان في جولين مش محسوبين الحكم ابن كلب وقتها 😁 
ملحوظة انا تونسية 😁😁😁",TN
"عبدالهادي ابو دية
كان أول الايام مع خالد بن عمره
في كل مكان يروح له
و الحين مع نايف و نمر
و ساحب على خالد
و قليل اشوفه معاه

ما اقصد ثنائية
و لكن هذا الواقع #همثون28",SA
@eedah189 روعه  مبدع يا ابو سامي🍀,SA
يا جماعه حد ياخدني يغردقني في الغردقه او يمطرحني في مطروح، او حتي يسحلني في الساحل 😂,PL
احنا بس نتجوز بالاول بعدين بنتفق ايش ممكن نعمل 😂 https://t.co/FG79NzfYQi,PL
الزمالك هيندم علي مصطفي محمد !!,EG
حط العيله كلها في مخباه 😂😂😂😂 https://t.co/fjGuIATLKX,QA
عالفاضي يا عم الناس https://t.co/Fz6tHcAHbL,PL
تحذيرات من خطورة مخطّط  https://t.co/sNsnmGx6dj,LB
"@r11_a11 @Scientistmarie حسبي الله على المجتمع الي جعلهم كذا !! ☹️
قريت ردها الثاني 💔",SA
"اول مره ومن سنين اشوف دكة النصر فيها كل العناصر. تقدر تغير المباراه 
مالنا عذر  https://t.co/2zpA19ZBNQ",AE
@D26695891 كلامي يفهمونه البشر اللي مثلنا البهايم اللي مثلك ماتفهم لغة البشر,QA
@YosraSaouf يسرى انا اسماعيل من ليبيا انحبك بالزاف انتي و برواس و اتمنى يوم من الايام اشوفك و اتمنى اسمع منك اغنية ذكرى يوم ليك و يوم عليك,LY
@hagersafi بعيد هو البقربني ليها شنو الناس كلها طلعت من المويا خايفه دي لو عضت بني آدم بتقسمه نصيين عندها أقوي فك,SD
"أنا أكثر واحد ممكن يتجاهل وأكثر واحد دقيق,مهما وضّحت اني مو ملاحظ تراني فاهم بس أتجاهل لراحة بالِي وأتغاضى لااكثر 💙💙.",YE
"السيسي هادا تحفه واللهي 😂
#شهادة_امان",PL
@nehadtorke3 @6eLwztVZLZfj0UL مع الاسف الاغلب باع نفسة وبلده وشعبة للفرس وللامريكان.لكن اهل الغيرة موجودين,IQ
@ayaramoss خلص خليها منورة التايم لاين,PL
لو فيي انا لوفيي انساك وعيش بحرية,SY
"@Jouzefff @thameralshaatry @abdula_alshatri 

يامرحبا يابوفهيد اطلق صباح ياكحيلان 🌸",KW
"مقوله تمثلني 

لا تخسر الشخص إللي يتحمل زعلك، يتحمل نفسيتك، يتحمل يكون غلطان بس عشان مايخسرك، لأن الحياة ماراح تكرره لك كثير",AE
@Bonij_45 حاول اطور شويه ياخ 😂😂😂😂😂😂,SD
ننتظر قرار الاتحاد الاردني بانصاف الفيصلي واحتساب 3 نقاط له على فريق اباصالة فالدوري فيه مفاجأت والوحدات من... https://t.co/80XPT2ZhQu,JO
#كلمه_مستفزه لمن انت بلا مصغره ..,LY
@bo_fisel_22 يعني اكنسل مجبوس الدياي والعداني 🤣,KW
"@jamal_arif1 ازعجنا بالطقس والرطوبة 
قتل متعة المباراة",JO
"@Lana96206068  هههههه 😂😂 خلص أوعاكي تفكري أصلا😂
ياالله كل ما اتزكر الي عملتو بامل مرة لما لبست كعب 🙊😂خليتها تكره الكعب ويومو😂😂",PL
@salwa_z أجازة مدتها أربع شهور وأذا رجعوا تجوفينهم مايحضرون الجلسات ومعظهم يتغيبون ومحد يحاسبهم,BH
@mosaa3ad  يحليلني ابد ما احب الضرب هههههههه,AE
وأنا باسمع الراديو باعرف من نشرات الأخبار والبرامج هما عايزين يقولوا إيه للناس ...,EG
@Mr_AlShahwani لو طاري سوااف ابرك 😩❌,QA
سبحان الله والحمد لله ولااله الا الله والله اكبر,DZ
@UAbdulziz @hashtag_oman عشان الفجر تكون جاهزة,OM
@tottilibya توا بعد غيرت رايي و كتبت اجابة ثانية تسأل فيا ليش ههههههههه اصلا ما في حل الا القوقل توا نشوفه و نرد عليك (:,LY
١١مليار مساعدات خارجيه بسنه؟سياسه خارجيه والكويت كريمه ولكن تخيلوا معاي لو كل محافظه انصرف عليها مليار ونص لتجميلها وزراعتها وضبط منشآتها,KW
#شكرا_للقسام حامي الشعب https://t.co/CEbW2wm7Xk,PL
"#تاخذني العزه إلى أبعد مدى 
حتى اللي أحبه عادي مَا أحبّه!😌",QA
نفسي اعرف شعور الدكتور الي شعبتو بتسكر بثواني!؟ 😂 وشعور الدكتور الي شعبتو بتكش ذبان 😂😂😂😂,JO
"بستغرب الناس إلى تقولك ما انت ممكن تبقى مليونيره و مش مبسوطه!..
مش هبقى مبسوطه ليه يا إبن الكئيبة يا كئيب",EG
@bint__althani لا تضايقين نفسك يافجوره ان شاء الله ازمه وبتعدي على خير,QA
@abir_zgheib ما تتعبي حالك وتلحقي حدا... واضحة النتيجة 😉,LB
@__Pearl1 @Calcio_223 @SultanAli_2 خريبين هو الوحيد اللي ماهو مبتسم و ماله نفس يتصور,SY
@UBxhxbx2 أيه أحسن أنتي خابرة الحسبه أللي طيرتي مخي فيها أنا مطيري مانسى حقي نهههههه😂😂😂😂😂😂😂😂😂😂😂😂,KW
I added a video to a @YouTube playlist https://t.co/SQsX9qjshh طريقة انشاء مستخدمين وصلاحيات,SD
@Rawanalnahi خلها سكته كابتن لايطلعن الفيديوات وتنلاص امورهم اكثر,IQ
@samaaliimen ههههههههههههههه مافيش علاقة قذرة بتتم ياحرام كسرتي خاطري,DZ
@el7bklh @bntbudhabi @_mwa10 سندرلا مالت الامارات ههههههههه,QA
@alimubarak27 صح لسانك يا الشاعر 👌🏼,AE
ربنا يحميه هو كمان .. https://t.co/vdhfoW3KtL,EG
اسعد نفسك بنفسك ..لانه ما حد بيصنعلك السعادة اذا ما كانت من جوااااك ✋✨,JO
@MARY_SD117 كان بدو يسميها عفيفة و مرتو مش قبلانة,LB
@SBM_M21 يا أبن الناس امسح عيب اترك البنت في حالها الله لايبلانا ويبلاك وترفع عن هالأشكال الي ماتمثل الا نفسها,QA
الف مبروك يا بطل المركز الثاني بمراثون البحرين وما قصرت 😍💪🏼🏁🏆 @Andullahaltuk https://t.co/fx8IVVOSOJ,SA
